Title,Place,Land Size,PublishDate,Price
58 Dhur Land Close To Rampur Campus In Chitwan Is On Sale,Chitwan (Bharatpur) > Rampur  ,  Land Size (in aana/dhur): 58,27-08-2021,"Rs. 1,80,000"
Land At Duwakot 5 Minutes On Bike From Bhatbhateni Radheradhe,Bhaktapur > Duwakot (Changunarayan), ,31-07-2021,"Rs. 25,25,000"
Sale For Land,Lalitpur > Bungamati (Karyabinayak)  ,  Land Size (in aana/dhur): 21,14-12-2021,"Rs. 21,00,000"
Vip Land Area For Sale..,Lalitpur > Hattiban  ,  Land Size (in aana/dhur): 3ana,04-12-2021,"Rs. 48,00,000"
Urgent Land Sale,Chitwan (Bharatpur) > Baseni  ,  Land Size (in aana/dhur): 10,13-11-2021,"Rs. 3,75,000"
Pokhara Birauta Land For Sale 9aana,Kaski (Pokhara) > Birauta, ,08-11-2021,"Rs. 20,00,000"
Land At Tokha,Kathmandu > Tokha, ,05-10-2021,"Rs. 25,00,000"
Land On Sale At Sankhu,Kathmandu > Sankhu (Shankharapur)  ,  Land Size (in aana/dhur): 5,16-09-2021,"Rs. 10,50,000"
Land For Sale; 6,Kathmandu > Narayanthan (Budhanilkantha)  ,  Land Size (in aana/dhur): 6,04-01-2022,"Rs. 47,00,000"
"Land For Sale At Ganeshbasti ,,",Kathmandu > Chundevi (Maharajgunj)  ,  Land Size (in aana/dhur): 10,03-01-2022,"Rs. 52,00,000"
"Residential Land At The Finest Location, Basbhari.",Kathmandu > Bansbari  ,  Land Size (in aana/dhur): 8,28-12-2021,"Rs. 58,00,000"
Land On Sell,Kathmandu > Gokarna (Gokarneshwar), ,25-12-2021,"Rs. 28,00,000"
Land Sale In Lalitpur,Lalitpur > Bungamati (Karyabinayak)  ,  Land Size (in aana/dhur): 4.5,23-12-2021,"Rs. 40,00,000"
Residential Land On Sale At Tahachal Bagaicha Marga,Kathmandu > Tahachal  ,  Land Size (in aana/dhur): 17a,13-12-2021,"Rs. 62,00,000"
Land For Sale In Jhalari Kanchanpur.,Kanchanpur > Bedkot  ,  Land Size (in aana/dhur): 33 K,07-12-2021,"Rs. 33,00,000"
Ashok Layland Dost Stong On Sale Fine Condition Herney Ley Lancha...,, ,10-11-2021,"Rs. 16,50,000"
"Land For Sale, Itahari",Sunsari (Itahari) > Halgada Chowk, ,24-10-2021,"Rs. 1,85,000"
Land Sale At Samari,Makwanpur > Makwanpur (Other Area)  ,  Land Size (in aana/dhur): 20,11-09-2021,"Rs. 75,000"
Land Available In Budhanilkantha,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 17.5,01-01-2022,"Rs. 70,00,000"
Very Akarsa Commercial Land Near New Changu Nagarpaika Turyntaii Bikri,Bhaktapur > Changunarayan  ,  Land Size (in aana/dhur): 19.5,26-12-2021,"Rs. 15,00,000"
Land Selling,Kavrepalanchok > Panauti, ,20-12-2021,"Rs. 70,000"
Basundhara Ma Land For Sale,Kathmandu > Basundhara  ,  Land Size (in aana/dhur): 9,12-12-2021,"Rs. 65,00,000"
"Land And House On Sale At Sauraha, Farsatikar, Rupandehi",Rupandehi > Rupandehi (Other Area), ,10-12-2021,"Rs. 25,00,000"
Land In Kalanki Syuchatar,Kathmandu > Syuchatar (Kalanki)  ,  Land Size (in aana/dhur): 16,25-10-2021,"Rs. 15,00,000"
Land Sale At Budhanilakantha Hight,Kathmandu > Narayanthan (Budhanilkantha)  ,  Land Size (in aana/dhur): 18.5,26-03-2021,"Rs. 23,00,000"
24 Dhur Land On Sale At Puspalal Chowk|birtamode,Jhapa > Birtamod  ,  Land Size (in aana/dhur): 24,07-01-2022,"Rs. 3,50,000"
23 Ana Land On Sale Near Dhapasi Krishna Mandir,Kathmandu > Dhapasi (Tokha)  ,  Land Size (in aana/dhur): 23,03-01-2022,"Rs. 45,00,000"
Land On Sale,Lalitpur > Jharuwarasi (Bajrabarahi)  ,  Land Size (in aana/dhur): 4,25-12-2021,"Rs. 20,00,000"
Land On Sale At Dholahiti ( Nakhipot),Lalitpur > Dholahiti, ,14-12-2021,"Rs. 54,00,000"
Land Sell At Thankot,Kathmandu > Thankot (Chandragiri)  ,  Land Size (in aana/dhur): 32,09-12-2021,"Rs. 9,50,000"
"Land For Sale In Chyasindole, Khadka Bhadrakali, Budhanilkantha",Kathmandu > Khadka Bhadrakali (Budhanilkantha)  ,  Land Size (in aana/dhur): 5,07-12-2021,"Rs. 40,00,000"
Land For Sale In,Kathmandu > Narayantar (Jorpati)  ,  Land Size (in aana/dhur): 4aan,28-11-2021,"Rs. 35,00,000"
Land For Sale,Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 4 Ro,19-11-2021,"Rs. 70,00,000"
Land On Lese 5 Barsa [trust Vako],Kathmandu > Pepsicola (Kadaghari), ,23-10-2021,"Rs. 7,000"
Land For Sale,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 5,17-10-2021,"Rs. 25,00,000"
"3 Aana 2 Paisa Land For Sale In Lalitpur Bhaisepati, Nakhu",Lalitpur > Nakhudole (Bhaisepati), ,30-12-2021,"Rs. 32,00,000"
"Thankot , Nagdhunga Land On Sale",Kathmandu > Thankot (Chandragiri)  ,  Land Size (in aana/dhur): 6-8,24-12-2021,"Rs. 25,00,000"
Bhairahawa Buddhachowk Land,Rupandehi (Bhairahawa) > Buddha Chowk  ,  Land Size (in aana/dhur): 53,21-12-2021,"Rs. 4,50,000"
Land On Sale At Duwakot,Bhaktapur > Duwakot (Changunarayan)  ,  Land Size (in aana/dhur): 4,16-12-2021,"Rs. 23,50,000"
"Land For Sale; Hatigauda, Narayanthan",Kathmandu > Hattigaunda (Budhanilkantha)  ,  Land Size (in aana/dhur): 6,09-12-2021,"Rs. 38,00,000"
9862102841 Land Sale Tokha Ma 4 Aana Matra Rs28 Aana,Kathmandu > Tokha  ,  Land Size (in aana/dhur): 4,28-11-2021,"Rs. 28,00,000"
Land At Naikap,Kathmandu > Purano Naikap (Chandragiri)  ,  Land Size (in aana/dhur): 5,17-10-2021,"Rs. 30,00,000"
Land In Near Haiway,Lalitpur > Tikathali (Mahalaxmi)  ,  Land Size (in aana/dhur): 3.25,28-08-2021,"Rs. 27,00,000"
Land Sale At Bhalwari (between Butwal And Bhairahawa),Rupandehi > Tilottama  ,  Land Size (in aana/dhur): 80,26-07-2020,"Rs. 3,00,000"
Banasthali In Side Chamati Land On Sale,Kathmandu > Dhungedhara (Banasthali), ,30-12-2021,"Rs. 62,00,000"
Land Purchase,Kathmandu > Thali (Kageshwor)  ,  Land Size (in aana/dhur): 7,30-12-2021,"Rs. 18,00,000"
Land For Rent,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 3:5,29-12-2021,"Rs. 5,000"
Land Rent Tokha Saraswoti Near Hattigauda Bishnumati Bridge,Kathmandu > Tokha Saraswati (Tokha)  ,  Land Size (in aana/dhur): 41,27-12-2021,"Rs. 40,000"
Land On Sale,Lalitpur > Dhapakhel, ,18-12-2021,"Rs. 20,00,000"
Land For Sale At Mahesphant!,Dhading > Dhunibeshi  ,  Land Size (in aana/dhur): 20.5,12-12-2021,"Rs. 10,00,000"
Land At Taudha For Residency,Kathmandu > Chobhar (Kirtipur)  ,  Land Size (in aana/dhur): 5,09-12-2021,"Rs. 25,00,000"
Land Sale In Baluwtar,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 5.3,06-12-2021,"Rs. 1,80,00,000"
4.5 Aana Land For Sale -sitapaila - South Facing - 29 Lakhs Per Ana,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 4.5,06-12-2021,"Rs. 29,00,000"
Ashok Leyland 26 Seta Bus,, ,24-11-2021,"Rs. 16,00,000"
"Attractive Land On Sale In Kawasoti, Nawalparasi",Nawalpur > Kawasoti  ,  Land Size (in aana/dhur): 265,24-11-2021,"Rs. 1,10,000"
Sundarjal Land Near Buspark,Kathmandu > Sundarijal (Gokarneshwar)  ,  Land Size (in aana/dhur): 3.2,01-11-2021,"Rs. 15,50,000"
Land Near Bafal..,Kathmandu > Bafal  ,  Land Size (in aana/dhur): 8,22-09-2021,"Rs. 52,00,000"
Chhampi Land On Sale,Lalitpur > Champi (Karyabinayak), ,27-12-2021,"Rs. 30,00,000"
0-4-2-0 Land House At Ekta Basti Near Gofutar Basketball At 3.75 Crore,Kathmandu > Golfutar (Budhanilkantha), ,12-12-2021,"Rs. 3,75,00,000"
"27 Ropanis, Bajrabarahi, Chapagaun Land For Sale",Lalitpur > Chapagaun (Bajrabarahi)  ,  Land Size (in aana/dhur): 437,05-12-2021,"Rs. 16,00,000"
Land For Sale,Bhaktapur > Changunarayan  ,  Land Size (in aana/dhur): 3.5,20-11-2021,"Rs. 13,50,000"
Land On Sale At Naya Thimi Near Modern School,Bhaktapur > Naya Thimi  ,  Land Size (in aana/dhur): 4-5,16-11-2021,"Rs. 30,00,000"
5 Anna Land With Brand New House Sale At Pasikot,Kathmandu > Pasikot (Budhanilkantha)  ,  Land Size (in aana/dhur): 5,14-11-2021,"Rs. 28,00,000"
Land For Sale,Lalitpur > Nallu (Konjyosom Rural)  ,  Land Size (in aana/dhur): 48,09-11-2021,"Rs. 1,00,000"
House Near Greenland Chowk Dhapasi,Kathmandu > Dhapasi (Tokha)  ,  Land Size (in aana/dhur): 6.5,25-10-2021,"Rs. 3,60,00,000"
Land Sale Samakhushi,Kathmandu > Kapurdhara (Samakhusi)  ,  Land Size (in aana/dhur): 5,19-10-2021,"Rs. 57,00,000"
Land For Sale In Bhaktapur Katunje 3 Dhara,Bhaktapur > Katunje (Suryabinayak)  ,  Land Size (in aana/dhur): 4,10-10-2021,"Rs. 21,50,000"
Plotted Land At Godamchaur,Lalitpur > Godamchaur (Godawari)  ,  Land Size (in aana/dhur): 4.2,24-09-2021,"Rs. 18,00,000"
Land Sell In Lakeside Pokhara,Kaski (Pokhara) > Airport Pokhara, ,10-09-2021,"Rs. 41,00,000"
Land For Sale; Golfutar,Kathmandu > Golfutar (Budhanilkantha)  ,  Land Size (in aana/dhur): 6,17-12-2021,"Rs. 42,00,000"
Land On Sale At Bhaisepati,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 3,29-11-2021,"Rs. 43,50,000"
Land For Sale In Baluwatar,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 34,15-11-2021,"Rs. 1,10,00,000"
Land For Sale In Banepa,Kavrepalanchok > Banepa  ,  Land Size (in aana/dhur): 47ha,21-10-2021,"Rs. 8,55,000"
"House And Land For Sale, Koteshwor",Kathmandu > Narephat (koteshwor)  ,  Land Size (in aana/dhur): 4ana,15-09-2021,"Rs. 3,15,00,000"
Land On Sale At Sankhu Lalitpur,Lalitpur > Sankhu (Konjyosom Rural)  ,  Land Size (in aana/dhur): 3.5,01-01-2022,"Rs. 10,00,000"
5.5 Ana Land On Sale At Dukuchap Main Road,Lalitpur > Dukuchap (Karyabinayak)  ,  Land Size (in aana/dhur): 5.5,01-01-2022,"Rs. 11,00,000"
1 Ropani Land For Sale At Dhumbarahi,Kathmandu > Dhumbarahi  ,  Land Size (in aana/dhur): 16,29-12-2021,"Rs. 65,00,000"
Land In Sell,Kathmandu > Danchi (Kageshwor), ,23-12-2021,"Rs. 25,00,000"
Kapan Land With Heavy Discount.,Kathmandu > Kapan  ,  Land Size (in aana/dhur): 5,20-12-2021,"Rs. 27,00,000"
Land For Sale - Bhaktapur - Opposite Of Radhey Radhey - 5 Aana,Bhaktapur > Radhe Radhe  ,  Land Size (in aana/dhur): 5,15-12-2021,"Rs. 39,00,000"
Beautiful Land On Sale,Kathmandu > Dharmasthali (Tarkeshwar)  ,  Land Size (in aana/dhur): 4,18-11-2021,"Rs. 23,00,000"
Tyanglaphat Land For Sale,Kathmandu > Tyangala Phant (Kirtipur)  ,  Land Size (in aana/dhur): 3.75,13-11-2021,"Rs. 45,00,000"
Land For Sale,Sunsari (Itahari) > Halgada Chowk  ,  Land Size (in aana/dhur): 8,23-10-2021,"Rs. 2,00,000"
"Land For Sale At Gurje Bhanjyang, Shivapuri Nagarpalika- 6, Nuwakot",Nuwakot > Nuwakot (Other Area)  ,  Land Size (in aana/dhur): 9.4,29-09-2021,"Rs. 4,00,000"
Attractive Land At Banepa 8.5 Anna,Kavrepalanchok > Banepa  ,  Land Size (in aana/dhur): 8.5,20-11-2020,"Rs. 5,50,000"
Land For Sale In Lalitpur,Lalitpur > Thaiba (Godawari)  ,  Land Size (in aana/dhur): 3.1,25-12-2021,"Rs. 56,00,000"
5 Biga Land On Sale,Rupandehi (Bhairahawa) > Bhairahawa (Other Area)  ,  Land Size (in aana/dhur): 5 Bi,16-12-2021,"Rs. 8,00,000"
Land For Sale At Gagalphedi,Kathmandu > Gagalphedi (Kageshwor)  ,  Land Size (in aana/dhur): 416,10-12-2021,"Rs. 9,00,000"
Land For Sale,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 53,17-11-2021,"Rs. 35,00,000"
Land Sale In Budhanilkantha,Kathmandu > Chapali (Budhanilkantha)  ,  Land Size (in aana/dhur): 6,15-11-2021,"Rs. 52,00,000"
72 Aana Land On Sale At Sirutar Bhaktapur,Bhaktapur > Sirutar (Ananta)  ,  Land Size (in aana/dhur): 72,15-11-2021,"Rs. 27,00,000"
"Land For Sale ; Hatigauda , Okhalgaun",Kathmandu > Hattigaunda (Budhanilkantha)  ,  Land Size (in aana/dhur): 5,01-11-2021,"Rs. 30,00,000"
Land On Sale Near Dhungedhara,Kathmandu > Banasthali  ,  Land Size (in aana/dhur): 6,17-10-2021,"Rs. 39,00,000"
Land On Sale,Bhaktapur > Dadhikot (Ananta), ,11-10-2021,"Rs. 22,00,000"
Land Sale At Lolang Kalimati 25lper Aana,Kathmandu > Goldhunga (Tarkeshwar)  ,  Land Size (in aana/dhur): 0.4.,17-09-2021,"Rs. 25,00,000"
Land On Sale,Lalitpur > Nakhu  ,  Land Size (in aana/dhur): 5.2,29-07-2021,"Rs. 40,00,000"
Land For Sale At Lokanthali (3.5),Bhaktapur > Lokanthali  ,  Land Size (in aana/dhur): 3.5,07-01-2022,"Rs. 42,00,000"
Land For Sale At Sukedhara (4 Aana),Kathmandu > Sukedhara  ,  Land Size (in aana/dhur): 4,07-01-2022,"Rs. 44,00,000"
Land On Rent At Dhapakhel,Lalitpur > Dhapakhel, ,23-12-2021,"Rs. 10,000"
Land For Rent In Kalanki Syuchatar Lri School 3 Ropani,Kathmandu > Kalanki, ,21-12-2021,"Rs. 10,000"
Land Sale At Biratnagar,Morang (Biratnagar) > Tankisinuwari  ,  Land Size (in aana/dhur): 10 D,16-12-2021,"Rs. 3,75,000"
Chitwan Bhojad Land For Lease,Chitwan (Bharatpur) > Bhojad, ,14-12-2021,"Rs. 60,000"
Land Agriculture,Chitwan > Ratnanagar / Tandi  ,  Land Size (in aana/dhur): 56,11-12-2021,"Rs. 2,00,000"
Landrover Freelander 1 2005 In A Excellent Condition,, ,04-12-2021,"Rs. 28,50,000"
Land For Sale,Rupandehi > Rupandehi (Other Area)  ,  Land Size (in aana/dhur): 12,24-11-2021,"Rs. 11,00,000"
Panauti Land,Kavrepalanchok > Panauti  ,  Land Size (in aana/dhur): 12,12-11-2021,"Rs. 9,00,000"
Land Sale At Kirtipur Jhulpokhari,Kathmandu > Bhatkepati (Kirtipur)  ,  Land Size (in aana/dhur): 4,09-11-2021,"Rs. 21,50,000"
Timberland Made In U.s.a,, ,04-10-2021,"Rs. 3,500"
2.5 Flat House In 2.5 Aana Land,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 2.5,01-10-2021,"Rs. 1,85,00,000"
Thimi Land On Sale,Bhaktapur > Madhyapur Thimi  ,  Land Size (in aana/dhur): 3.1,19-09-2021,"Rs. 30,00,000"
Land For Sale At Kavre,Kavrepalanchok > Panauti  ,  Land Size (in aana/dhur): 6 Rp,17-06-2021,"Rs. 4,00,000"
Land Sale In Kalanki,Kathmandu > Kalanki, ,12-12-2021,"Rs. 75,00,000"
Land Sale At Dibyashwori Planing Hight Sanothimi,Bhaktapur > Sano Thimi  ,  Land Size (in aana/dhur): ४,19-05-2021,"Rs. 38,00,000"
Land Seles,Bhaktapur > Jhaukhel (Changunarayan), ,30-12-2021,"Rs. 20,00,000"
Kathmandu Jagdol Land On Sell,Kathmandu > Baluwa /Suntakhan (Gokarneshwar)  ,  Land Size (in aana/dhur): 3.25,30-12-2021,"Rs. 26,00,000"
Vvip Land On Sale At Baluwatar.,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 11,25-12-2021,"Rs. 1,00,00,000"
Land For Sale Itahari,Sunsari (Itahari) > Gaisar  ,  Land Size (in aana/dhur): 5,17-12-2021,"Rs. 2,90,000"
Land On Sale,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 5-3,16-12-2021,"Rs. 38,00,000"
Land At Bansbari Golfutar Neuro Hospital,Kathmandu > Bansbari  ,  Land Size (in aana/dhur): 8 Aa,26-11-2021,"Rs. 60,00,000"
Land On Sale,Kathmandu > Sangla (Tarkeshwar)  ,  Land Size (in aana/dhur): 4-0,18-11-2021,"Rs. 17,00,000"
Chitwan Land,Chitwan (Bharatpur) > Rampur  ,  Land Size (in aana/dhur): 100,26-10-2021,"Rs. 1,35,000"
Land For Sale,Lalitpur > Chapagaun (Bajrabarahi)  ,  Land Size (in aana/dhur): 5,25-09-2021,"Rs. 10,00,000"
Land On Sale,Sunsari (Dharan) > Gauri Gaun  ,  Land Size (in aana/dhur): 8,15-09-2021,"Rs. 5,50,000"
Land For Sale,Chitwan (Bharatpur) > Bharatpur (Other Area)  ,  Land Size (in aana/dhur): 300,10-09-2021,"Rs. 70,000"
25 Ft Pitch Road Kai Sideko Land For Urgent Sale,Bhaktapur > Gundu (Ananta)  ,  Land Size (in aana/dhur): 9,15-07-2021,"Rs. 13,75,000"
Land For Sale Sitaram Chowk,Chitwan > Chitwan (Other Area)  ,  Land Size (in aana/dhur): 9,06-01-2022,"Rs. 6,31,500"
Land For Sale At Lazimpat Uttardhoka,Kathmandu > Lazimpat  ,  Land Size (in aana/dhur): 4,30-12-2021,"Rs. 1,10,00,000"
Land In Dharmaathali Chisapani,Kathmandu > Tarkeshwar, ,18-12-2021,"Rs. 16,00,000"
Commercial Land For Sale Near Highway Of Gaighat Lahan Road,Saptari > Surunga  ,  Land Size (in aana/dhur): Dhur,20-10-2021,"Rs. 1,50,000"
Land On Sale In Palungtar,Gorkha > Palungtar  ,  Land Size (in aana/dhur): 9 Ro,19-10-2021,"Rs. 1,90,000"
Land For Sale In Bhaktapur,Bhaktapur > Chaling (Changunarayan)  ,  Land Size (in aana/dhur): 4,19-10-2021,"Rs. 22,00,000"
Land On Sell At Gongabu Tokha,Kathmandu > Gongabu (Tokha)  ,  Land Size (in aana/dhur): 6,10-09-2021,"Rs. 35,00,000"
25 Aana Land For Sale In Kapan,Kathmandu > Kapan  ,  Land Size (in aana/dhur): 25,11-03-2021,"Rs. 21,00,000"
Land For Sale At Pepsicola(2.5 Aana),Kathmandu > Pepsicola (Kadaghari)  ,  Land Size (in aana/dhur): 2.5,30-12-2021,"Rs. 56,00,000"
6.5 Aana Land At Jorpati,Kathmandu > Besigaun (Jorpati)  ,  Land Size (in aana/dhur): 6.5,30-12-2021,"Rs. 35,00,000"
Land At Thaiba (way To Godamchaur Road),Lalitpur > Thaiba (Godawari)  ,  Land Size (in aana/dhur): 6.75,03-12-2021,"Rs. 27,00,000"
Land On Sell,Kathmandu > Chalnakhel (Dakshinkali), ,29-11-2021,"Rs. 15,75,000"
Roland Spd-30 Version -02 For Sale,, ,27-11-2021,"Rs. 60,000"
Land In Goldhunga,Kathmandu > Goldhunga (Tarkeshwar)  ,  Land Size (in aana/dhur): 3 Aa,22-11-2021,"Rs. 20,00,000"
"Land Biratnagar, Morang",Morang (Biratnagar) > Kanchanbari  ,  Land Size (in aana/dhur): 22,21-11-2021,"Rs. 6,50,000"
"Itahari, Tarahara! Residential Land For Sale!",Sunsari (Itahari) > Tarahara  ,  Land Size (in aana/dhur): 8.5,01-11-2021,"Rs. 3,50,000"
"12 Ropani Farm Land For Sale In Dumshichour , Tanhaun",Tanahun > Tanahun (Other Area)  ,  Land Size (in aana/dhur): 192,24-01-2020,"Rs. 1,54,00,000"
"6 Ana Land In Sunkhandi, Below Pharpig",Kathmandu > Pharping (Dakshinkali)  ,  Land Size (in aana/dhur): 6,05-01-2022,"Rs. 13,50,000"
Land For Sale ; 40 Bhangaal,Kathmandu > Bhangal (Budhanilkantha)  ,  Land Size (in aana/dhur): 40,04-01-2022,"Rs. 35,00,000"
Land For Sale Butwal-bhairahawa Road Urgent Sale.,Rupandehi > Tilottama  ,  Land Size (in aana/dhur): 13/r,03-01-2022,"Rs. 31,00,000"
Land On Sell,Kathmandu > Mulpani (Kageshwor), ,30-12-2021,"Rs. 22,00,000"
Land For Sale,Lalitpur > Changathali (Mahalaxmi)  ,  Land Size (in aana/dhur): 4,07-12-2021,"Rs. 32,00,000"
Land On Sale,Lalitpur > Bhaisepati / Sainbu, ,02-12-2021,"Rs. 55,00,000"
Timberland Shoe,, ,25-11-2021,"Rs. 10,000"
Land Sell,Kathmandu > Chalnakhel (Dakshinkali), ,08-11-2021,"Rs. 15,50,000"
"Land For Sale At Samakhushi Chowk, Tokha",Kathmandu > Samakhusi  ,  Land Size (in aana/dhur): 12.4,27-09-2021,"Rs. 55,00,000"
Comm Land For Sale In Ratopul,Kathmandu > Ratopul (Gyaneshwar)  ,  Land Size (in aana/dhur): 5,26-09-2021,"Rs. 1,00,00,000"
Land For Sale At Satungal Namuna Basti,Kathmandu > Satungal (Chandragiri)  ,  Land Size (in aana/dhur): 3.75,04-01-2022,"Rs. 30,00,000"
Nearly 1 Ropani Land On Rent At Sitapaila Chowk,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 14,27-12-2021,"Rs. 2,00,000"
"Land Sale Peer Aana 45,00,000",Bhaktapur > Madhyapur Thimi, ,03-12-2021,"Rs. 45,00,000"
Land On Sale,Kathmandu > Indrayeni (Shankharapur)  ,  Land Size (in aana/dhur): 9,23-11-2021,"Rs. 12,50,000"
"Land Sale At Bhaktapur, Sipadol (near Aadarsha Chwok)",Bhaktapur > Sipadol (Suryabinayak)  ,  Land Size (in aana/dhur): 4 Aa,10-11-2021,"Rs. 25,00,000"
Land Sale At Dahachowk,Kathmandu > Dahachok (Chandragiri)  ,  Land Size (in aana/dhur): 4.65,01-10-2021,"Rs. 31,00,000"
Land On Sale At Imadol Nearby Korean College,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 5,24-09-2021,"Rs. 29,00,000"
Attractive Land On Sale At Biratnagar Bhattachowk!,Morang (Biratnagar) > Pokharia  ,  Land Size (in aana/dhur): 40,29-08-2021,"Rs. 7,50,000"
"Land For Sale At Sankhu, Kathmandu",Lalitpur > Sankhu (Konjyosom Rural)  ,  Land Size (in aana/dhur): 15,10-12-2021,"Rs. 3,00,000"
Land For Sale At Kalanki(5.5 Aaana),Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 5.5,04-12-2021,"Rs. 35,00,000"
3 Ana Ko 2 Pice Land,Kathmandu > Mulpani (Kageshwor)  ,  Land Size (in aana/dhur): 3,27-11-2021,"Rs. 26,50,000"
Residential Land On Sale At Sinamangal,Kathmandu > Sinamangal  ,  Land Size (in aana/dhur): 5.2,28-09-2021,"Rs. 50,00,000"
Plotting Land Sale In Hetauda Prime Location,Makwanpur (Hetauda) > Bhimpedi Buspark  ,  Land Size (in aana/dhur): 9~13,02-12-2020,"Rs. 7,50,000"
4/5 /6 Ana Land Sell On Budhanilkantha Narayanthan,Kathmandu > Hattigaunda (Budhanilkantha)  ,  Land Size (in aana/dhur): 4.5,31-12-2021,"Rs. 40,00,000"
Land For Sale At Sanepa Chaudhari Group,Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 11,31-12-2021,"Rs. 92,00,000"
"Plotted 4 Anna ,2paisa Land In Sangla",Kathmandu > Sangla (Tarkeshwar)  ,  Land Size (in aana/dhur): 4,28-12-2021,"Rs. 25,00,000"
Land Sale In Vip Area Of Nakhudole,Lalitpur > Nakhudole (Bhaisepati)  ,  Land Size (in aana/dhur): 5,24-12-2021,"Rs. 50,00,000"
"Residential Land On Sale At Kapan,kathmandu.",Kathmandu > Kapan  ,  Land Size (in aana/dhur): 10.1,14-12-2021,"Rs. 24,00,000"
Land On Sale In Kokana Shree Kali,Lalitpur > Khokana (Karyabinayak), ,09-12-2021,"Rs. 27,50,000"
Land For Sale,Kathmandu > Ramkot (Nagarjun)  ,  Land Size (in aana/dhur): 7,29-11-2021,"Rs. 1,33,00,000"
Land For Urgent Sale,Kathmandu > Kumarigal (Chabahil)  ,  Land Size (in aana/dhur): 3.5,28-11-2021,"Rs. 65,00,000"
Land For Sale At Dhapakhel Lalitpur,Lalitpur > Dhapakhel  ,  Land Size (in aana/dhur): 3,07-11-2021,"Rs. 15,00,000"
Land For Rent(ring Road ),Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 36,25-10-2021,"Rs. 5,00,000"
Land On Sell Near Pokhara University,Kaski (Pokhara) > Lekhnath (Outskirt)  ,  Land Size (in aana/dhur): 4,20-10-2021,"Rs. 22,50,000"
2 Storey House On 5 Aana Land,Kathmandu > Machhegaun (Chandragiri)  ,  Land Size (in aana/dhur): 5,09-06-2021,"Rs. 20,000"
7 Aana Residential Land On Sale In Hattigauda,Kathmandu > Hattigaunda (Budhanilkantha)  ,  Land Size (in aana/dhur): 7,28-12-2021,"Rs. 52,00,000"
17 Aana Land Semi-commercial At Baluwatar,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 17,22-12-2021,"Rs. 85,00,000"
Land Of Baglung Highway On Sell,Kaski (Pokhara) > Simpani (Outskirt)  ,  Land Size (in aana/dhur): 4,18-12-2021,"Rs. 1,25,00,000"
168sqm Land At Residential Area At Mangalpur On Sale,Chitwan (Bharatpur) > Mangalpur  ,  Land Size (in aana/dhur): 10,28-11-2021,"Rs. 5,00,000"
Land Is Sell Near Dhokavanjyang Gokarna.,Kathmandu > Gokarna (Gokarneshwar), ,26-11-2021,"Rs. 18,00,000"
5 Aana 1 Paisa Land In Dhapakhel (1.5 Km From Gems School),Lalitpur > Dhapakhel  ,  Land Size (in aana/dhur): 5.5,24-11-2021,"Rs. 23,00,000"
Land For Sale In Hetauda Chisapani (shivam Cement Najik ),Makwanpur (Hetauda) > Chaughada Bazar, ,14-09-2021,"Rs. 39,00,000"
3 Ana Land - Main Roadside Nearby Grande Towers,Kathmandu > Dhapasi (Tokha)  ,  Land Size (in aana/dhur): 3,02-09-2021,"Rs. 70,00,000"
"Land Rent Of Hattiban, Nearby La School, Lalitpur",Lalitpur > Hattiban  ,  Land Size (in aana/dhur): 10,10-12-2021,"Rs. 52,000"
Hetauda Dharan-chatara Highway Land,Makwanpur (Hetauda) > Hetauda (Other Area)  ,  Land Size (in aana/dhur): 240,09-12-2021,"Rs. 2,50,000"
Land For Sell,Kavrepalanchok > Namobuddha, ,27-11-2021,"Rs. 40,00,000"
Land On Sell Heatuda Chaughada Bazar,Makwanpur (Hetauda) > Chaughada Bazar  ,  Land Size (in aana/dhur): 8,05-11-2021,"Rs. 5,00,000"
Urgent Land Sale In Birtamode,Jhapa > Birtamod  ,  Land Size (in aana/dhur): 9,03-10-2021,"Rs. 2,85,000"
Commercial And Residential Land On Sale.,Lalitpur > Nakhudole (Bhaisepati)  ,  Land Size (in aana/dhur): 15,03-01-2022,"Rs. 42,00,000"
